size,internal_edges,external_edges,density,avg_clustering,diameter,avg_path_length,avg_degree,max_degree,modularity_contrib,conductance,community_id
5977,41383,4463,0.0023171711999971333,0.37780052643233436,19,7.388400683207987,14.594110757905304,33,0.021871017114083714,0.051164177051210034,32
1537,10414,308,0.008822313489481674,0.47525775883867083,13,5.873084573574062,13.751463890696161,27,0.0056116415014260575,0.01457229371688115,33
5890,41542,235,0.002395303493809211,0.3832321156056486,16,6.790594244802185,14.145840407470288,34,0.022006170748217802,0.002820485123441232,83
3165,22621,643,0.004517847905844383,0.45070021096433366,16,7.478839951028854,14.497630331753555,29,0.012106089348533272,0.014013294104827285,35
4619,32277,2105,0.00302636473091026,0.40511248524894994,15,6.329261488057828,14.431478675037887,31,0.017167991297201726,0.031578631542627404,36
3608,24999,1393,0.003841846077810023,0.4144647714472415,16,6.874090598657329,14.243625277161863,35,0.013355643641379441,0.0271059134867973,37
10603,75846,2183,0.001349416810364452,0.3968724252648848,17,7.193353338491812,14.512402150334811,34,0.03937004867841798,0.014186839967506092,38
3913,27571,89,0.003602249750059709,0.4527737654648904,15,6.989476507703073,14.114745719396883,29,0.01471961358933598,0.0016114138798862957,39
2405,16966,923,0.0058689433065473,0.489214756961912,20,8.241754733102487,14.492723492723492,27,0.009106450604011143,0.02648113613541816,57
60,434,0,0.24519774011299436,0.7020057013886938,6,2.577966101694915,14.466666666666667,26,0.0002351752738574424,0.0,41
3400,23917,1510,0.00413910665766748,0.42771526880214217,13,6.102105117422079,14.512941176470589,31,0.012784337344866288,0.0306014915693904,42
1628,11181,512,0.008442453740548393,0.5059916941227584,15,6.411742719978737,14.05036855036855,39,0.006021742528164679,0.02238349217452129,43
285,2028,114,0.05011119347664937,0.539660720443464,9,4.0134914751667905,14.631578947368421,25,0.0010979110968866279,0.027338129496402876,44
2051,14053,104,0.006684663043607521,0.4037059326242619,15,6.6334870556896695,13.754266211604095,26,0.00755836448019613,0.003686635944700461,45
2447,16642,477,0.005560900075885135,0.4988828397386996,18,7.014040587687094,13.796894156109522,29,0.008936353694818494,0.0141287284144427,46
1565,10536,649,0.008609038837093387,0.51052526748557,19,8.08114443999575,13.87923322683706,28,0.005675924928886618,0.029878919018461396,47
846,6038,251,0.01689258186803195,0.44318404224742763,14,5.444575936883629,14.570921985815604,32,0.003261472304522605,0.020361807414618318,48
1470,10216,436,0.009461756111566478,0.41054884952365783,14,5.726645457366065,14.19591836734694,27,0.00550515106087435,0.020893233659191105,49
2240,15836,222,0.0063150003190199705,0.4368749656729619,12,5.923802478785172,14.238392857142857,29,0.00850849929471457,0.0069605568445475635,50
3060,20964,484,0.004479228762443193,0.40920122465725584,14,6.566845929828835,13.860130718954249,31,0.011230506978384876,0.011411864566632086,66
1164,7961,695,0.011761559895163887,0.4319480280918078,11,5.053837834962903,14.275773195876289,31,0.004294630503626131,0.04182463741951014,52
872,6055,280,0.015944448540641885,0.46552553170077243,13,5.399983147073384,14.208715596330276,27,0.0032705720439211235,0.022598870056497175,53
6546,46623,1974,0.0021764292751514404,0.4061564973683856,15,6.687809535946701,14.54628780934922,35,0.024604052917299994,0.020730938878386892,54
3699,25857,1657,0.0037805665981085323,0.4515642335035363,15,6.735883040904891,14.428494187618275,33,0.013805450682624485,0.03104682318112833,55
802,5455,166,0.016983135170812045,0.4772029515255425,14,6.097561962758522,13.810473815461346,27,0.002947632993153605,0.014987360057782593,56
651,4711,31,0.022266335814722912,0.465080039745927,11,4.988736854543306,14.52073732718894,32,0.0025468275266271427,0.0032793822067068656,58
450,3060,346,0.030289532293986638,0.49439975796626734,10,4.468903736698837,14.36888888888889,28,0.00165546780894553,0.05351067120321683,59
1315,9531,506,0.011031824574196573,0.39949184917540714,13,5.566007488815968,14.880608365019011,29,0.005137737589613138,0.025858544562551104,60
1077,7786,500,0.013437436359431575,0.4062162687674215,10,4.703240793474921,14.92293407613742,32,0.004201087869804622,0.031110004977600796,61
156,1022,13,0.08453267162944582,0.7650532182727344,9,4.378494623655914,13.185897435897436,23,0.0005536193857151026,0.006319883325230919,62
